fmu_id.realization,fmu_id.iteration,map_type,data.name,data.attribute,data.time.t1,data.time.t2,statistics,filename
---,---,observed,basevolantis,amplitude_mean,2018-01-01,2019-07-01,,drogon/realization-0/iter-0/share/observations/maps/basevolantis--amplitude_mean--20190701_20180101.gri
---,---,observed,basevolantis,amplitude_mean,2018-01-01,2020-07-01,,drogon/realization-0/iter-0/share/observations/maps/basevolantis--amplitude_mean--20200701_20180101.gri
---,---,observed,basevolantis,amplitude_mean,2018-01-01,2018-07-01,,drogon/realization-0/iter-0/share/observations/maps/basevolantis--amplitude_mean--20180701_20180101.gri
---,---,observed,basevolantis,amplitude_rms,2018-01-01,2020-07-01,,drogon/realization-0/iter-0/share/observations/maps/basevolantis--amplitude_rms--20200701_20180101.gri
---,---,observed,basevolantis,amplitude_rms,2018-01-01,2019-07-01,,drogon/realization-0/iter-0/share/observations/maps/basevolantis--amplitude_rms--20190701_20180101.gri
---,---,observed,basevolantis,amplitude_rms,2018-01-01,2018-07-01,,drogon/realization-0/iter-0/share/observations/maps/basevolantis--amplitude_rms--20180701_20180101.gri
---,---,observed,therys,relai_mean,2018-01-01,2019-07-01,,drogon/realization-0/iter-0/share/observations/maps/therys--relai_mean--20190701_20180101.gri
---,---,observed,therys,relai_mean,2018-01-01,2018-07-01,,drogon/realization-0/iter-0/share/observations/maps/therys--relai_mean--20180701_20180101.gri
---,---,observed,therys,relai_mean,2018-01-01,2020-07-01,,drogon/realization-0/iter-0/share/observations/maps/therys--relai_mean--20200701_20180101.gri
---,---,observed,topvolantis,amplitude_mean,2018-01-01,2018-07-01,,drogon/realization-0/iter-0/share/observations/maps/topvolantis--amplitude_mean--20180701_20180101.gri
---,---,observed,topvolantis,amplitude_mean,2018-01-01,2019-07-01,,drogon/realization-0/iter-0/share/observations/maps/topvolantis--amplitude_mean--20190701_20180101.gri
---,---,observed,topvolantis,amplitude_mean,2018-01-01,2020-07-01,,drogon/realization-0/iter-0/share/observations/maps/topvolantis--amplitude_mean--20200701_20180101.gri
---,---,observed,topvolantis,amplitude_rms,2018-01-01,2020-07-01,,drogon/realization-0/iter-0/share/observations/maps/topvolantis--amplitude_rms--20200701_20180101.gri
---,---,observed,topvolantis,amplitude_rms,2018-01-01,2018-07-01,,drogon/realization-0/iter-0/share/observations/maps/topvolantis--amplitude_rms--20180701_20180101.gri
---,---,observed,topvolantis,amplitude_rms,2018-01-01,2019-07-01,,drogon/realization-0/iter-0/share/observations/maps/topvolantis--amplitude_rms--20190701_20180101.gri
---,---,observed,valysar,relai_mean,2018-01-01,2018-07-01,,drogon/realization-0/iter-0/share/observations/maps/valysar--relai_mean--20180701_20180101.gri
---,---,observed,valysar,relai_mean,2018-01-01,2019-07-01,,drogon/realization-0/iter-0/share/observations/maps/valysar--relai_mean--20190701_20180101.gri
---,---,observed,valysar,relai_mean,2018-01-01,2020-07-01,,drogon/realization-0/iter-0/share/observations/maps/valysar--relai_mean--20200701_20180101.gri
---,---,observed,volon,relai_mean,2018-01-01,2018-07-01,,drogon/realization-0/iter-0/share/observations/maps/volon--relai_mean--20180701_20180101.gri
