map_type,data.name,data.attribute,interval,prm_label,realization,minimum value,maximum value,mean value,std value,lower_limit,upper_limit,file_path
observed,basevolantis,amplitude_mean,20190701_20180101,20190701-20180101,---,-0.04284102842211723,0.02768186293542385,-0.00022662826097873825,0.0031691426028803587,,,/scratch/fmu/eza/05_drogon_ahm/realization-0/iter-0/share/observations/maps/basevolantis--amplitude_mean--20190701_20180101.gri
observed,volon,relai_mean,20180701_20180101,20180701-20180101,---,-0.019607702270150185,0.028441771864891052,0.00017328390035263594,0.001657533431447103,,,/scratch/fmu/eza/05_drogon_ahm/realization-0/iter-0/share/observations/maps/volon--relai_mean--20180701_20180101.gri
observed,therys,relai_mean,20190701_20180101,20190701-20180101,---,-0.053354326635599136,0.04305427893996239,-0.00061461721666639,0.005817971560043506,,,/scratch/fmu/eza/05_drogon_ahm/realization-0/iter-0/share/observations/maps/therys--relai_mean--20190701_20180101.gri
observed,basevolantis,amplitude_rms,20200701_20180101,20200701-20180101,---,4.951971641276032e-05,0.0375262089073658,0.003259134241148155,0.003942241430685941,,,/scratch/fmu/eza/05_drogon_ahm/realization-0/iter-0/share/observations/maps/basevolantis--amplitude_rms--20200701_20180101.gri
observed,topvolantis,amplitude_mean,20180701_20180101,20180701-20180101,---,-0.023855119943618774,0.021173881366848946,-5.6962304488960895e-05,0.0017206369218975774,,,/scratch/fmu/eza/05_drogon_ahm/realization-0/iter-0/share/observations/maps/topvolantis--amplitude_mean--20180701_20180101.gri
observed,basevolantis,amplitude_rms,20190701_20180101,20190701-20180101,---,2.677437623788137e-05,0.030575614422559738,0.002897719508838837,0.002952046482966058,,,/scratch/fmu/eza/05_drogon_ahm/realization-0/iter-0/share/observations/maps/basevolantis--amplitude_rms--20190701_20180101.gri
observed,valysar,relai_mean,20180701_20180101,20180701-20180101,---,-0.03420398384332657,0.029435502365231514,-0.00013762188859639432,0.0020800389401275368,,,/scratch/fmu/eza/05_drogon_ahm/realization-0/iter-0/share/observations/maps/valysar--relai_mean--20180701_20180101.gri
observed,topvolantis,amplitude_mean,20190701_20180101,20190701-20180101,---,-0.043156106024980545,0.02801133506000042,-0.0002330294562794459,0.0035768252607463608,,,/scratch/fmu/eza/05_drogon_ahm/realization-0/iter-0/share/observations/maps/topvolantis--amplitude_mean--20190701_20180101.gri
observed,therys,relai_mean,20180701_20180101,20180701-20180101,---,-0.0304989255964756,0.0323566272854805,-9.888328551049886e-05,0.0023756992344808334,,,/scratch/fmu/eza/05_drogon_ahm/realization-0/iter-0/share/observations/maps/therys--relai_mean--20180701_20180101.gri
observed,topvolantis,amplitude_rms,20200701_20180101,20200701-20180101,---,0.0001997110666707158,0.04524167254567146,0.0028615200798603638,0.0030133326905558014,,,/scratch/fmu/eza/05_drogon_ahm/realization-0/iter-0/share/observations/maps/topvolantis--amplitude_rms--20200701_20180101.gri
observed,valysar,relai_mean,20190701_20180101,20190701-20180101,---,-0.07110176235437393,0.03975556418299675,-0.0003715302622894582,0.005427324113701611,,,/scratch/fmu/eza/05_drogon_ahm/realization-0/iter-0/share/observations/maps/valysar--relai_mean--20190701_20180101.gri
observed,basevolantis,amplitude_mean,20200701_20180101,20200701-20180101,---,-0.042018670588731766,0.03906763717532158,-0.0002455029637552474,0.004098002143000697,,,/scratch/fmu/eza/05_drogon_ahm/realization-0/iter-0/share/observations/maps/basevolantis--amplitude_mean--20200701_20180101.gri
observed,topvolantis,amplitude_rms,20180701_20180101,20180701-20180101,---,0.00014205725165084004,0.018623359501361847,0.0019516599689604326,0.0010764036736434174,,,/scratch/fmu/eza/05_drogon_ahm/realization-0/iter-0/share/observations/maps/topvolantis--amplitude_rms--20180701_20180101.gri
