,true_name,md_end,md_start,color,tooltip,layer_name
0,55/33-A-5,,1731.394338226346,blue,A-5: inj (water 3312 [km3] Start: 2018 Last: 2020),well_layer_injection_2019-07-01-2018-01-01
1,55/33-A-6,,1742.8431763420122,blue,A-6: inj (water 1768 [km3] Start: 2018 Last: 2020),well_layer_injection_2019-07-01-2018-01-01
